tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp,interface,image_url
Sapphire Radeon RX 6500 XT PULSE ITX PURE 4GB GDDR6 White,3839760,Radeon RX 6500 XT,4.0,2310.0,2825.0,WHITE,152.0,130.0,PCIe x16,assets/images/gpu/gpu_sapphire_radeon_rx_6500_xt_pulse_itx_pure_4gb_gddr6_white.png
Sapphire PULSE OC Radeon RX 6500 XT 8GB GDDR6 Black / Red,5862240,Radeon RX 6500 XT,8.0,2310.0,2855.0,BLACK,194.0,130.0,PCIe x16,assets/images/gpu/gpu_sapphire_pulse_oc_radeon_rx_6500_xt_8gb_gddr6_black_red.png
Gigabyte GAMING OC Radeon RX 6500 XT 4GB GDDR6 Black / Gray,3839760,Radeon RX 6500 XT,4.0,2310.0,2825.0,BLACK,282.0,107.0,PCIe x16,assets/images/gpu/gpu_gigabyte_gaming_oc_radeon_rx_6500_xt_4gb_gddr6_black_gray.png
ASRock AMD Radeon RX 6600 Challenger 8GB GDDR6,5279760,Radeon RX 6600,8.0,1626.0,2491.0,WHITE,269.0,132.0,PCIe 4.0 x8,assets/images/gpu/gpu_asrock_amd_radeon_rx_6600_challenger_8gb_gddr6.png
MSI ARMOR V1 Radeon RX 6600 8GB GDDR6 Black / Silver,5279760,Radeon RX 6600,8.0,1626.0,2491.0,BLACK,238.0,132.0,PCIe x16,assets/images/gpu/gpu_msi_armor_v1_radeon_rx_6600_8gb_gddr6_black_silver.png
Sparkle Intel Arc B580 TITAN OC 12GB GDDR6,6959760,Arc B580,12.0,2670.0,2740.0,BLUE,315.0,200.0,PCIe 4.0 x8,assets/images/gpu/gpu_sparkle_intel_arc_b580_titan_oc_12gb_gddr6.png
ONIX LUMI Intel Arc B580 GDDR6 OC 12GB,6959760,Arc B580,12.0,2670.0,2740.0,WHITE,260.0,203.0,PCIe 4.0 x8,assets/images/gpu/gpu_onix_lumi_intel_arc_b580_gddr6_oc_12gb.png
Intel Arc B580 Limited Edition 12GB GDDR6,6959760,Arc B580,12.0,2670.0,2670.0,BLACK,272.0,190.0,PCIe 4.0 x8,assets/images/gpu/gpu_intel_arc_b580_limited_edition_12gb_gddr6.png
PowerColor Fighter Radeon RX 7600 XT 16GB GDDR6 Black,8639280,Radeon RX 7600 XT,16.0,1720.0,2755.0,BLACK,217.0,190.0,PCIe x16,assets/images/gpu/gpu_powercolor_fighter_radeon_rx_7600_xt_16gb_gddr6_black.png
PowerColor Radeon RX 5500 XT AXRX 4GB GDDR6 Black,7176000,Radeon RX 5500 XT,4.0,1717.0,1845.0,BLACK,180.0,130.0,PCIe x16,assets/images/gpu/gpu_powercolor_radeon_rx_5500_xt_axrx_4gb_gddr6_black.png
Asus GTX950-2G GeForce GTX 950 75W 2GB GDDR5 White / Blue,6120000,GeForce GTX 950,2.0,1026.0,1228.0,WHITE,210.0,75.0,PCIe x16,assets/images/gpu/gpu_asus_gtx950_2g_geforce_gtx_950_75w_2gb_gddr5_white_blue.png
