tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp
PowerColor Fighter OC Radeon RX 7700 XT 12GB GDDR6 Black,9599280,Radeon RX 7700 XT,12.0,1700.0,2584.0,BLACK,290.0,245.0
XFX SPEEDSTER SWFT 210 AMD Radeon RX 7600 Core Edition White,6599760,Radeon RX 7600,8.0,1875.0,2655.0,WHITE,241.0,165.0
Gigabyte GAMING OC Radeon RX 7600 8GB GDDR6,6599760,Radeon RX 7600,8.0,1876.0,2755.0,BLACK,282.0,165.0
MSI MECH 2X OCV1 Radeon RX 6600 XT 8GB GDDR6 Black / Silver,15552000,Radeon RX 6600 XT,8.0,1968.0,2602.0,BLACK,215.0,160.0
MSI GAMING GeForce GTX 1050 2GB GDDR5 Red / Black,4752000,GeForce GTX 1050,2.0,1354.0,1556.0,RED,229.0,75.0
Asus DUAL GeForce GTX 1050 2GB GDDR5 White / Blue,4752000,GeForce GTX 1050,2.0,1404.0,1518.0,WHITE,212.0,75.0
Gigabyte OC GeForce GTX 1050 2GB GDDR5 Black / Orange,4752000,GeForce GTX 1050,2.0,1379.0,1518.0,BLACK,191.0,75.0
Inno3D Twin X2 OC GeForce GTX 1650 SUPER 4GB GDDR6 Black,10056000,GeForce GTX 1650 SUPER,4.0,1530.0,1755.0,BLACK,220.0,100.0
SAPPHIRE PURE AMD Radeon RX 7900 GRE 16GB GDDR6,16079760,Radeon RX 7900 GRE,16.0,1448.0,2333.0,WHITE,320.0,275.0
PowerColor AMD Radeon RX 7900 GRE Fighter OC 16GB GDDR6,16079760,Radeon RX 7900 GRE,16.0,1358.0,2293.0,BLACK,303.0,260.0
PowerColor AXRX 570 8GBD5-DM Radeon RX 570 4GB GDDR5 Black / Red,7176000,Radeon RX 570,4.0,1105.0,1244.0,BLACK,255.0,150.0
EVGA GeForce GT 1030 Gray 2GB GDDR5 Gray,2557440,GeForce GT 1030,2.0,1290.0,1544.0,GREY,168.0,30.0
Gigabyte GeForce GT 1030 White 2GB GDDR5 White,2557440,GeForce GT 1030,2.0,1252.0,1506.0,WHITE,175.0,30.0
MSI AERO ITX OC GeForce GT 1030 2GB GDDR5,2557440,GeForce GT 1030,2.0,1265.0,1518.0,BLACK,147.0,30.0
MSI GeForce RTX 2080 VENTUS 8GB GDDR6 Silver / Black,18600000,GeForce RTX 2080,8.0,1515.0,1710.0,GREY,268.0,215.0
Gigabyte GeForce RTX 2080 GAMING OC 8GB GDDR6 White / Black,18600000,GeForce RTX 2080,8.0,1710.0,1830.0,WHITE,286.0,215.0
MSI Gaming X Trio GeForce RTX 2080 8GB GDDR6 Black,18600000,GeForce RTX 2080,8.0,1515.0,1860.0,BLACK,327.0,215.0
Gainward GeForce GTX 980 Phantom 4GB GDDR5 Black / Silver,9336000,GeForce GTX 980,4.0,1203.0,1304.0,BLACK,274.0,165.0
Sapphire Radeon RX 6500 XT PULSE ITX PURE 4GB GDDR6 White,3839760,Radeon RX 6500 XT,4.0,2310.0,2825.0,WHITE,152.0,130.0
Sapphire PULSE OC Radeon RX 6500 XT 8GB GDDR6 Black / Red,5862240,Radeon RX 6500 XT,8.0,2310.0,2855.0,BLACK,194.0,130.0
Gigabyte GAMING OC Radeon RX 6500 XT 4GB GDDR6 Black / Gray,3839760,Radeon RX 6500 XT,4.0,2310.0,2825.0,BLACK,282.0,107.0
